action_type,event_type,loc_x,loc_y,minutes_remaining,period,player_name,position,height,shot_distance,shot_made_flag,points,shot_type,shot_zone_basic,shot_zone_range,team_name
Step Back Jump shot,Missed Shot,168,236,2,4,Stephen Curry,"Point Guard, Shooting Guard",6.3,28,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Driving Finger Roll Layup Shot,Made Shot,13,25,0,4,Stephen Curry,"Point Guard, Shooting Guard",6.3,2,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Golden State Warriors
Jump Shot,Missed Shot,-111,152,11,1,Stephen Curry,"Point Guard, Shooting Guard",6.3,18,0,0,2PT Field Goal,Mid-Range,16-24 ft.,Golden State Warriors
Jump Shot,Missed Shot,-147,256,6,1,Stephen Curry,"Point Guard, Shooting Guard",6.3,29,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Driving Finger Roll Layup Shot,Made Shot,-9,36,6,1,Stephen Curry,"Point Guard, Shooting Guard",6.3,3,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Golden State Warriors
Step Back Jump shot,Made Shot,101,164,5,1,Stephen Curry,"Point Guard, Shooting Guard",6.3,19,1,2,2PT Field Goal,Mid-Range,16-24 ft.,Golden State Warriors
Jump Shot,Missed Shot,-197,191,8,2,Stephen Curry,"Point Guard, Shooting Guard",6.3,27,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Jump Shot,Missed Shot,156,225,5,2,Stephen Curry,"Point Guard, Shooting Guard",6.3,27,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Driving Finger Roll Layup Shot,Made Shot,5,16,3,2,Stephen Curry,"Point Guard, Shooting Guard",6.3,1,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Golden State Warriors
Driving Floating Jump Shot,Missed Shot,-157,73,2,2,Stephen Curry,"Point Guard, Shooting Guard",6.3,17,0,0,2PT Field Goal,Mid-Range,16-24 ft.,Golden State Warriors
Pullup Jump shot,Missed Shot,-202,15,0,2,Stephen Curry,"Point Guard, Shooting Guard",6.3,20,0,0,2PT Field Goal,Mid-Range,16-24 ft.,Golden State Warriors
Jump Shot,Missed Shot,-231,13,9,3,Stephen Curry,"Point Guard, Shooting Guard",6.3,23,0,0,3PT Field Goal,Left Corner 3,24+ ft.,Golden State Warriors
Driving Floating Jump Shot,Missed Shot,7,99,5,3,Stephen Curry,"Point Guard, Shooting Guard",6.3,9,0,0,2PT Field Goal,In The Paint (Non-RA),8-16 ft.,Golden State Warriors
Layup Shot,Missed Shot,-21,32,4,3,Stephen Curry,"Point Guard, Shooting Guard",6.3,3,0,0,2PT Field Goal,Restricted Area,Less Than 8 ft.,Golden State Warriors
Pullup Jump shot,Made Shot,24,263,4,3,Stephen Curry,"Point Guard, Shooting Guard",6.3,26,1,3,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Pullup Jump shot,Made Shot,234,19,4,3,Stephen Curry,"Point Guard, Shooting Guard",6.3,23,1,3,3PT Field Goal,Right Corner 3,24+ ft.,Golden State Warriors
Jump Shot,Missed Shot,168,237,2,3,Stephen Curry,"Point Guard, Shooting Guard",6.3,29,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Jump Shot,Missed Shot,187,194,11,4,Stephen Curry,"Point Guard, Shooting Guard",6.3,26,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Jump Shot,Missed Shot,-100,46,3,4,Stephen Curry,"Point Guard, Shooting Guard",6.3,11,0,0,2PT Field Goal,Mid-Range,8-16 ft.,Golden State Warriors
Running Finger Roll Layup Shot,Made Shot,16,85,11,1,Stephen Curry,"Point Guard, Shooting Guard",6.3,8,1,2,2PT Field Goal,In The Paint (Non-RA),8-16 ft.,Golden State Warriors
Jump Shot,Missed Shot,-152,10,9,1,Stephen Curry,"Point Guard, Shooting Guard",6.3,15,0,0,2PT Field Goal,Mid-Range,8-16 ft.,Golden State Warriors
Driving Floating Jump Shot,Made Shot,12,67,7,1,Stephen Curry,"Point Guard, Shooting Guard",6.3,6,1,2,2PT Field Goal,In The Paint (Non-RA),Less Than 8 ft.,Golden State Warriors
Jump Shot,Made Shot,-184,14,4,1,Stephen Curry,"Point Guard, Shooting Guard",6.3,18,1,2,2PT Field Goal,Mid-Range,16-24 ft.,Golden State Warriors
Jump Shot,Missed Shot,198,173,11,2,Stephen Curry,"Point Guard, Shooting Guard",6.3,26,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Driving Floating Jump Shot,Made Shot,8,129,11,2,Stephen Curry,"Point Guard, Shooting Guard",6.3,12,1,2,2PT Field Goal,In The Paint (Non-RA),8-16 ft.,Golden State Warriors
Pullup Jump shot,Made Shot,-143,215,8,2,Stephen Curry,"Point Guard, Shooting Guard",6.3,25,1,3,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Pullup Jump shot,Made Shot,-60,253,7,2,Stephen Curry,"Point Guard, Shooting Guard",6.3,26,1,3,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Jump Bank Shot,Missed Shot,134,61,6,2,Stephen Curry,"Point Guard, Shooting Guard",6.3,14,0,0,2PT Field Goal,Mid-Range,8-16 ft.,Golden State Warriors
Jump Shot,Missed Shot,197,362,0,2,Stephen Curry,"Point Guard, Shooting Guard",6.3,41,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Pullup Jump shot,Missed Shot,106,259,10,3,Stephen Curry,"Point Guard, Shooting Guard",6.3,27,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Driving Finger Roll Layup Shot,Missed Shot,92,45,10,3,Stephen Curry,"Point Guard, Shooting Guard",6.3,10,0,0,2PT Field Goal,Mid-Range,8-16 ft.,Golden State Warriors
Jump Shot,Made Shot,-136,293,8,3,Stephen Curry,"Point Guard, Shooting Guard",6.3,32,1,3,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Jump Shot,Missed Shot,71,269,4,3,Stephen Curry,"Point Guard, Shooting Guard",6.3,27,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Jump Shot,Missed Shot,228,60,11,4,Stephen Curry,"Point Guard, Shooting Guard",6.3,23,0,0,3PT Field Goal,Right Corner 3,24+ ft.,Golden State Warriors
Jump Shot,Missed Shot,3,176,10,4,Stephen Curry,"Point Guard, Shooting Guard",6.3,17,0,0,2PT Field Goal,Mid-Range,16-24 ft.,Golden State Warriors
Step Back Jump shot,Made Shot,-145,283,10,4,Stephen Curry,"Point Guard, Shooting Guard",6.3,31,1,3,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Jump Shot,Missed Shot,-19,288,9,4,Stephen Curry,"Point Guard, Shooting Guard",6.3,28,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Running Pull-Up Jump Shot,Missed Shot,183,199,7,4,Stephen Curry,"Point Guard, Shooting Guard",6.3,27,0,0,3PT Field Goal,Above the Break 3,24+ ft.,Golden State Warriors
Running Layup Shot,Made Shot,-11,38,6,4,Stephen Curry,"Point Guard, Shooting Guard",6.3,3,1,2,2PT Field Goal,Restricted Area,Less Than 8 ft.,Golden State Warriors
